SKUPARTNUMBER,SKU Name
AAD_BASIC,Azure Active Directory Basic
AAD_PREMIUM,Azure Active Directory Premium P1
AAD_PREMIUM_P2,Azure Active Directory Premium P2
ATP_ENTERPRISE,Office 365 Advanced Threat Protection (Plan 1)
BUSINESS_VOICE,Microsoft Business Voice (United Kingdom)
BUSINESS_VOICE_DIRECTROUTING,Microsoft Business Voice (without Calling Plan)
BUSINESS_VOICE_DIRECTROUTING _MED,Microsoft Business Voice (without Calling Plan) for the United States
BUSINESS_VOICE_MED,Microsoft Business Voice (Canada)
BUSINESS_VOICE_MED2,Microsoft Business Voice (United States)
BUSINESS_VOICE_MED2_TELCO,Microsoft Business Voice (United States)
CCIBOTS_PRIVPREV_VIRAL,Dynamics 365 AI For Customer Service Virtual Agents Viral SKU
CRMPLAN2,Microsoft Dynamics CRM Online Basic
CRMSTANDARD,Microsoft Dynamics CRM Online
DESKLESSPACK,Office 365 F1
DESKLESSPACK,Office 365 F3
DEVELOPERPACK,Office 365 Enterprise E3 Developer
DEVELOPERPACK,Office 365 E3 Developer
DYN365_ENTERPRISE_RELATIONSHIP_SALES,Microsoft Relationship Sales Solution
DYN365_AI_SERVICE_INSIGHTS,Dynamics 365 Customer Service Insights Trial
DYN365_ENTERPRISE_CUSTOMER_SERVICE,Dynamics 365 For Customer Service Enterprise Edition
DYN365_ENTERPRISE_P1_IW,Dynamics 365 P1 Trial For Information Workers
DYN365_ENTERPRISE_PLAN1,Dynamics 365 Customer Engagement Plan Enterprise Edition
DYN365_ENTERPRISE_SALES,Dynamics 365 For Sales Enterprise Edition
DYN365_ENTERPRISE_SALES_CUSTOMERSERVICE,Dynamics 365 For Sales And Customer Service Enterprise Edition
DYN365_ENTERPRISE_TEAM_MEMBERS,Dynamics 365 For Team Members Enterprise Edition
DYN365_FINANCIALS_BUSINESS_SKU,Dynamics 365 For Financials Business Edition
DYN365_TEAM_MEMBERS,Dynamics 365 Team Members
DYNAMICS_365_FOR_OPERATIONS,Dynamics 365 Unf Ops Plan Ent Edition
DYNAMICS_365_HIRING_SKU,Dynamics 365 For Talent: Attract
DYNAMICS_365_ONBOARDING_SKU,Dynamics 365 For Talent: Onboard
EMS,Enterprise Mobility + Security E3
EMSPREMIUM,Enterprise Mobility + Security E5
ENTERPRISEPACK,Office 365 Enterprise E3
ENTERPRISEPACK,Office 365 E3
ENTERPRISEPACK_USGOV_DOD,Office 365 E3 (US Gov DOD)
ENTERPRISEPACK_USGOV_GCCHIGH,Office 365 E3 (US Gov GCC High)
ENTERPRISEPREMIUM,Office 365 Enterprise E5
ENTERPRISEPREMIUM,Office 365 E5
ENTERPRISEPREMIUM_FACULTY,Office 365 A5 For Faculty
ENTERPRISEPREMIUM_NOPSTNCONF,Office 365 Enterprise E5 Without Audio Conferencing
ENTERPRISEPREMIUM_NOPSTNCONF,Office 365 E5 Without Audio Conferencing
ENTERPRISEPREMIUM_STUDENT,Office 365 A5 For Students
ENTERPRISEWITHSCAL,Office 365 Enterprise E4
ENTERPRISEWITHSCAL,Office 365 E4
EQUIVIO_ANALYTICS,Office 365 Advanced Compliance
EXCHANGE_S_ESSENTIALS,Exchange Online Essentials
EXCHANGEARCHIVE,Exchange Online Archiving For Exchange Server
EXCHANGEARCHIVE_ADDON,Exchange Online Archiving For Exchange Online
EXCHANGEDESKLESS,Exchange Online Kiosk
EXCHANGEENTERPRISE,Exchange Online (Plan 2)
EXCHANGEESSENTIALS,Exchange Online Essentials
EXCHANGESTANDARD,Exchange Online (Plan 1)
EXCHANGETELCO,Exchange Online Pop
